rxcui_from,tty_from,rxcui_to,tty_to
1150076,SBDF,1150077,SBD
1150076,SBDF,237717,SCD
1304562,SBDF,1304564,SBD
1304562,SBDF,1304559,SCD
1305220,SBDF,1305222,SBD
1305220,SBDF,1305217,SCD
1314669,SBDF,1314672,SBD
1314669,SBDF,1314666,SCD
1859191,SBDF,1859193,SBD
1859191,SBDF,237717,SCD
1870188,SBDF,800918,SBD
1870188,SBDF,800915,SCD
1919588,SBDF,1799178,SBD
1919588,SBDF,1375379,SCD
2002737,SBDF,2002739,SBD
2002737,SBDF,308395,SCD
2279014,SBDF,876679,SBD
2279014,SBDF,313599,SCD
2371756,SBDF,1116183,SBD
2371756,SBDF,1116179,SCD
2371784,SBDF,1428828,SBD
2371784,SBDF,1364855,SCD
2371803,SBDF,876861,SBD
2371803,SBDF,876858,SCD
366367,SBDF,211855,SBD
366367,SBDF,198896,SCD
368481,SBDF,211869,SBD
368481,SBDF,198897,SCD
369677,SBDF,212360,SBD
369677,SBDF,308399,SCD
808084,SBDF,808085,SBD
808084,SBDF,807801,SCD
826859,SBDF,826860,SBD
826859,SBDF,826857,SCD
826864,SBDF,826865,SBD
826864,SBDF,826862,SCD
836266,SBDF,836270,SBD
836266,SBDF,836268,SCD
861071,SBDF,861072,SBD
861071,SBDF,313634,SCD
877465,SBDF,877466,SBD
877465,SBDF,877463,SCD
891708,SBDF,891709,SBD
891708,SBDF,891706,SCD
891718,SBDF,891719,SBD
891718,SBDF,891716,SCD
891792,SBDF,891793,SBD
891792,SBDF,891790,SCD
891814,SBDF,891815,SBD
891814,SBDF,891812,SCD
891819,SBDF,891820,SBD
891819,SBDF,891816,SCD
999748,SBDF,999749,SBD
999748,SBDF,999783,SBD
999748,SBDF,348622,SCD
999748,SBDF,348689,SCD
999825,SBDF,999826,SBD
999825,SBDF,999823,SCD
2654210,SBDFP,891815,SBD
2654210,SBDFP,891812,SCD
2654842,SBDFP,836270,SBD
2654842,SBDFP,836268,SCD
2655086,SBDFP,1090975,SBD
2655086,SBDFP,1090973,SCD
2655122,SBDFP,891793,SBD
2655122,SBDFP,891790,SCD
2655274,SBDFP,1304564,SBD
2655274,SBDFP,1304559,SCD
2655749,SBDFP,1305222,SBD
2655749,SBDFP,1305217,SCD
2655859,SBDFP,1087410,SBD
2655859,SBDFP,1087406,SCD
2656337,SBDFP,1116183,SBD
2656337,SBDFP,1116179,SCD
2656521,SBDFP,891719,SBD
2656521,SBDFP,891716,SCD
2656535,SBDFP,1119573,SBD
2656535,SBDFP,1119569,SCD
2656892,SBDFP,1090972,SBD
2656892,SBDFP,1090968,SCD
2657466,SBDFP,1314672,SBD
2657466,SBDFP,1314666,SCD
2657612,SBDFP,877466,SBD
2657612,SBDFP,877463,SCD
2657643,SBDFP,1102207,BPCK
2657643,SBDFP,1102202,GPCK
2657643,SBDFP,1102206,SBD
2657643,SBDFP,1102196,SCD
2657685,SBDFP,1087238,SBD
2657685,SBDFP,836268,SCD
2657942,SBDFP,891820,SBD
2657942,SBDFP,891816,SCD
2658473,SBDFP,891709,SBD
2658473,SBDFP,891706,SCD
1043298,SCDF,1043300,SCD
1087296,SCDF,1087302,SBD
1087296,SCDF,1087298,SCD
1087404,SCDF,1087410,SBD
1087404,SCDF,1087406,SCD
1087413,SCDF,1087418,SBD
1087413,SCDF,1087414,SCD
1090822,SCDF,1090824,SCD
1090830,SCDF,1090975,SBD
1090830,SCDF,1090973,SCD
1090966,SCDF,1090972,SBD
1090966,SCDF,1090968,SCD
1100256,SCDF,1304490,SCD
1100260,SCDF,1100471,BPCK
1100260,SCDF,1100470,GPCK
1100260,SCDF,1100262,SCD
1102194,SCDF,1102207,BPCK
1102194,SCDF,1102202,GPCK
1102194,SCDF,1102206,SBD
1102194,SCDF,1102196,SCD
1102199,SCDF,1102207,BPCK
1102199,SCDF,1102202,GPCK
1102199,SCDF,1102201,SCD
1119566,SCDF,1119573,SBD
1119566,SCDF,1119569,SCD
1150170,SCDF,1150172,SCD
1234481,SCDF,1234482,SCD
1248140,SCDF,1248142,SCD
1292775,SCDF,876679,SBD
1292775,SCDF,1537233,SCD
1292775,SCDF,313599,SCD
1304557,SCDF,1304564,SBD
1304557,SCDF,1305222,SBD
1304557,SCDF,1304559,SCD
1304557,SCDF,1305217,SCD
1313923,SCDF,1313925,SCD
1314664,SCDF,1314672,SBD
1314664,SCDF,1314666,SCD
1375378,SCDF,1799178,SBD
1375378,SCDF,1375379,SCD
1870185,SCDF,800918,SBD
1870185,SCDF,800915,SCD
1874900,SCDF,1874902,SCD
1926815,SCDF,1926816,SCD
1944961,SCDF,1485531,SCD
2045241,SCDF,2045245,BPCK
2045241,SCDF,2045244,GPCK
2045241,SCDF,2045243,SCD
2099780,SCDF,2099781,SCD
2099780,SCDF,2603517,SCD
2284147,SCDF,282737,SCD
2284147,SCDF,283293,SCD
2371752,SCDF,1116183,SBD
2371752,SCDF,1116179,SCD
2371780,SCDF,1428828,SBD
2371780,SCDF,1235389,SCD
2371780,SCDF,1364854,SCD
2371780,SCDF,1364855,SCD
2371799,SCDF,876861,SBD
2371799,SCDF,876858,SCD
237703,SCDF,283121,SCD
2636651,SCDF,2636652,SCD
2636651,SCDF,2636654,SCD
2636845,SCDF,2636846,SCD
2707115,SCDF,2707116,SCD
2713890,SCDF,2713891,SCD
370594,SCDF,211855,SBD
370594,SCDF,198896,SCD
370594,SCDF,245462,SCD
370594,SCDF,2603482,SCD
370594,SCDF,2699355,SCD
370597,SCDF,2002739,SBD
370597,SCDF,308376,SCD
370597,SCDF,308395,SCD
370597,SCDF,312969,SCD
370598,SCDF,308391,SCD
370599,SCDF,212360,SBD
370599,SCDF,141991,SCD
370599,SCDF,1441371,SCD
370599,SCDF,245473,SCD
370599,SCDF,308384,SCD
370599,SCDF,308399,SCD
370599,SCDF,313803,SCD
370599,SCDF,313841,SCD
370599,SCDF,333831,SCD
370600,SCDF,237718,SCD
370600,SCDF,308382,SCD
370600,SCDF,308392,SCD
370601,SCDF,211869,SBD
370601,SCDF,198892,SCD
370601,SCDF,198893,SCD
370601,SCDF,198897,SCD
370601,SCDF,199083,SCD
370601,SCDF,282402,SCD
370601,SCDF,283294,SCD
370601,SCDF,308396,SCD
370602,SCDF,237722,SCD
370604,SCDF,1150077,SBD
370604,SCDF,1859193,SBD
370604,SCDF,1424902,SCD
370604,SCDF,237717,SCD
370604,SCDF,245474,SCD
370710,SCDF,1088869,SBD
370710,SCDF,1424273,SCD
370710,SCDF,242668,SCD
370934,SCDF,243789,SCD
370934,SCDF,308377,SCD
374492,SCDF,259773,SCD
375354,SCDF,199138,SCD
375355,SCDF,283297,SCD
375355,SCDF,283426,SCD
375375,SCDF,282836,SCD
376956,SCDF,199842,SCD
377583,SCDF,199834,SCD
378540,SCDF,348694,SCD
378540,SCDF,388723,SCD
378576,SCDF,283944,SCD
577189,SCDF,577190,SCD
580134,SCDF,999749,SBD
580134,SCDF,999783,SBD
580134,SCDF,348622,SCD
580134,SCDF,348689,SCD
602126,SCDF,602127,SCD
602126,SCDF,602135,SCD
619035,SCDF,105668,SCD
619052,SCDF,861072,SBD
619052,SCDF,313634,SCD
619103,SCDF,359514,SCD
724126,SCDF,1246831,SCD
797462,SCDF,797463,SCD
807800,SCDF,808085,SBD
807800,SCDF,807801,SCD
826649,SCDF,1114342,SBD
826649,SCDF,826653,SBD
826649,SCDF,826650,SCD
826649,SCDF,826656,SCD
826856,SCDF,826860,SBD
826856,SCDF,826857,SCD
826861,SCDF,826865,SBD
826861,SCDF,826862,SCD
828803,SCDF,348025,SCD
828822,SCDF,877466,SBD
828822,SCDF,877463,SCD
835523,SCDF,835524,SCD
836263,SCDF,1087238,SBD
836263,SCDF,836270,SBD
836263,SCDF,836268,SCD
846044,SCDF,2121705,SCD
846044,SCDF,846045,SCD
852776,SCDF,999826,SBD
852776,SCDF,999823,SCD
880815,SCDF,1365980,SCD
880815,SCDF,1365984,SCD
891521,SCDF,891522,SCD
891705,SCDF,891709,SBD
891705,SCDF,891820,SBD
891705,SCDF,891706,SCD
891705,SCDF,891816,SCD
891715,SCDF,891719,SBD
891715,SCDF,891716,SCD
891789,SCDF,891793,SBD
891789,SCDF,891790,SCD
891811,SCDF,891815,SBD
891811,SCDF,891812,SCD
999798,SCDF,1087208,SBD
999798,SCDF,999799,SCD
2645538,SCDFP,1100471,BPCK
2645538,SCDFP,1100470,GPCK
2645538,SCDFP,1100262,SCD
2645550,SCDFP,1090975,SBD
2645550,SCDFP,1090973,SCD
2645657,SCDFP,891719,SBD
2645657,SCDFP,891716,SCD
2646096,SCDFP,1043300,SCD
2646275,SCDFP,891815,SBD
2646275,SCDFP,891812,SCD
2646283,SCDFP,1119573,SBD
2646283,SCDFP,1119569,SCD
2646487,SCDFP,1313925,SCD
2646494,SCDFP,1304564,SBD
2646494,SCDFP,1305222,SBD
2646494,SCDFP,1304559,SCD
2646494,SCDFP,1305217,SCD
2646632,SCDFP,1116183,SBD
2646632,SCDFP,1116179,SCD
2646678,SCDFP,1246831,SCD
2646829,SCDFP,1090972,SBD
2646829,SCDFP,1090968,SCD
2647416,SCDFP,891522,SCD
2647507,SCDFP,1102207,BPCK
2647507,SCDFP,1102202,GPCK
2647507,SCDFP,1102201,SCD
2647613,SCDFP,891709,SBD
2647613,SCDFP,891820,SBD
2647613,SCDFP,891706,SCD
2647613,SCDFP,891816,SCD
2647627,SCDFP,1365980,SCD
2647627,SCDFP,1365984,SCD
2647688,SCDFP,1087410,SBD
2647688,SCDFP,1087406,SCD
2647976,SCDFP,1102207,BPCK
2647976,SCDFP,1102202,GPCK
2647976,SCDFP,1102206,SBD
2647976,SCDFP,1102196,SCD
2647984,SCDFP,1087238,SBD
2647984,SCDFP,836270,SBD
2647984,SCDFP,836268,SCD
2648394,SCDFP,1485531,SCD
2648715,SCDFP,348025,SCD
2648752,SCDFP,283944,SCD
2648884,SCDFP,877466,SBD
2648884,SCDFP,877463,SCD
2648952,SCDFP,1314672,SBD
2648952,SCDFP,1314666,SCD
2648960,SCDFP,1090824,SCD
2649346,SCDFP,1304490,SCD
2649401,SCDFP,1248142,SCD
2649458,SCDFP,891793,SBD
2649458,SCDFP,891790,SCD
1659769,SBDF,728491,SBD
1659769,SBDF,723871,SCD
1670055,SBDF,1484963,SBD
1670055,SBDF,1484958,SCD
2643208,SBDF,2643209,SBD
2643208,SBDF,2643204,SCD
2655316,SBDFP,2643209,SBD
2655316,SBDFP,2643204,SCD
2656068,SBDFP,728491,SBD
2656068,SBDFP,723871,SCD
2657599,SBDFP,1484963,SBD
2657599,SBDFP,1484958,SCD
1659766,SCDF,728491,SBD
1659766,SCDF,723871,SCD
1670052,SCDF,1484963,SBD
1670052,SCDF,2643209,SBD
1670052,SCDF,1484958,SCD
1670052,SCDF,2643204,SCD
2647373,SCDFP,2643209,SBD
2647373,SCDFP,2643204,SCD
2648751,SCDFP,728491,SBD
2648751,SCDFP,723871,SCD
2648925,SCDFP,1484963,SBD
2648925,SCDFP,1484958,SCD
1648172,SBDF,1648174,SBD
1648172,SBDF,1648169,SCD
2655423,SBDFP,1648174,SBD
2655423,SBDFP,1648169,SCD
1648168,SCDF,1648174,SBD
1648168,SCDF,2612086,SBD
1648168,SCDF,1648169,SCD
1648168,SCDF,2612081,SCD
2646890,SCDFP,1648174,SBD
2646890,SCDFP,2612086,SBD
2646890,SCDFP,1648169,SCD
2646890,SCDFP,2612081,SCD
1039254,SBDF,1039255,SBD
1039254,SBDF,1039251,SCD
1040057,SBDF,1040058,SBD
1040057,SBDF,1040054,SCD
1045540,SBDF,1045541,SBD
1045540,SBDF,1045532,SCD
1099284,SBDF,1099285,SBD
1099284,SBDF,1090496,SCD
1114040,SBDF,1360638,GPCK
1114040,SBDF,1114041,SBD
1114040,SBDF,1090946,SCD
1422932,SBDF,1422935,SBD
1422932,SBDF,1370216,SCD
1536154,SBDF,1536157,SBD
1536154,SBDF,1536151,SCD
1872894,SBDF,1872897,SBD
1872894,SBDF,1045532,SCD
2611265,SBDF,2744513,BPCK
2611265,SBDF,2744515,BPCK
2611265,SBDF,2744512,GPCK
2611265,SBDF,2744514,GPCK
2611265,SBDF,2611266,SBD
2611265,SBDF,2741703,SBD
2611265,SBDF,2611260,SCD
2611265,SBDF,2741701,SCD
367201,SBDF,2122389,SBD
367201,SBDF,2122387,SCD
370485,SBDF,1373128,SBD
370485,SBDF,1373045,SCD
702444,SBDF,1596947,SBD
702444,SBDF,2122395,SBD
702444,SBDF,2122415,SBD
702444,SBDF,1596945,SCD
