"PRODUCT NDC","PRODUCT TYPE NAME","NONPROPRIETARY NAME","DOSAGE FORM NAME","ROUTE NAME","MARKETING CATEGORY NAME","ESTABLISHMENT INFORMATION","SUBSTANCE NAME","ACTIVE INGREDIENTS INFO","NDC PACKAGE CODE","PACKAGE DESCRIPTION","REPORTING PERIOD","DEA SCHEDULE"
"70092-444","HUMAN COMPOUNDED DRUG","Fentanyl PF 5 mcg/ml in 250 ml NS bag","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE","1250 ug/250 mL","70092-444-05","250 mL in 1 BAG (70092-444-05)","2022-2, 2022-1","CII"
"70092-444","HUMAN COMPOUNDED DRUG","Fentanyl PF 5 mcg/ml in 250 ml NS bag","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE","1250 ug/250 mL","70092-444-05","250 mL in 1 BAG (70092-444-05)","2022-2, 2022-1","CII"
"70092-452","HUMAN COMPOUNDED DRUG","Rocuronium PF 10 mg/ml 5ml syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","ROCURONIUM BROMIDE","50 mg/5 mL","70092-452-44","5 mL in 1 SYRINGE (70092-452-44)","2022-2, 2022-1",""
"70092-452","HUMAN COMPOUNDED DRUG","Rocuronium PF 10 mg/ml 5ml syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","ROCURONIUM BROMIDE","50 mg/5 mL","70092-452-44","5 mL in 1 SYRINGE (70092-452-44)","2022-2, 2022-1",""
"70092-455","HUMAN COMPOUNDED DRUG","Ephedrine PF 5 mg/ml in 10 ml NS syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","EPHEDRINE SULFATE","50 mg/10 mL","70092-455-46","10 mL in 1 SYRINGE (70092-455-46)","2022-2, 2022-1",""
"70092-455","HUMAN COMPOUNDED DRUG","Ephedrine PF 5 mg/ml in 10 ml NS syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","EPHEDRINE SULFATE","50 mg/10 mL","70092-455-46","10 mL in 1 SYRINGE (70092-455-46)","2022-2, 2022-1",""
"70092-475","HUMAN COMPOUNDED DRUG","Dextrose PF 500mg/ml 50ml SWF syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","","","70092-475-50","50 mL in 1 SYRINGE (70092-475-50)","2022-1, 2022-2",""
"70092-475","HUMAN COMPOUNDED DRUG","Dextrose PF 500mg/ml 50ml SWF syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","","","70092-475-50","50 mL in 1 SYRINGE (70092-475-50)","2022-1, 2022-2",""
"70092-477","HUMAN COMPOUNDED DRUG","Ephedrine PF 10 mg/ml in 5 ml NS syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","EPHEDRINE SULFATE","50 mg/5 mL","70092-477-44","5 mL in 1 SYRINGE (70092-477-44)","2022-2, 2022-1",""
"70092-477","HUMAN COMPOUNDED DRUG","Ephedrine PF 10 mg/ml in 5 ml NS syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","EPHEDRINE SULFATE","50 mg/5 mL","70092-477-44","5 mL in 1 SYRINGE (70092-477-44)","2022-2, 2022-1",""
